TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
176.727074830,-168.764,17.3922,0.109149,-1.85151,-4.44145,5.82416,1.85832,6.83404,4.86951,5.97108,-0.435841,4.04578,-1.15226,-1.03328,-3.52958,3.17649,1.52822,1.97851,-1.17826,-2.25318,-3.36655
176.750294785,-170.959,18.2635,-3.63153,-3.40419,-5.8806,5.48013,0.399788,6.72872,4.2952,4.44133,0.261619,0.745832,-2.52115,1.85397,-2.39362,0.737324,-0.628803,3.8154,3.40409,-0.844134,-4.91461
176.773514739,-180.936,19.172,-1.83585,1.82562,-4.06437,6.49512,2.21348,11.0916,5.71775,5.78757,-2.73951,3.69405,-1.10445,0.0184942,-2.96009,0.33266,0.595698,3.26814,-0.43671,-1.75001,-4.62231
176.796734694,-180.455,20.1714,-1.63888,3.30843,-5.61166,8.59935,3.25473,7.88735,2.19832,3.43379,-2.30089,4.99911,-2.1042,-0.191582,-4.30428,-0.648781,-1.3581,1.1057,1.17625,0.810599,-4.13451
176.819954649,-178.708,19.4336,-2.78098,-1.97047,-5.96824,3.81433,2.19841,5.96087,2.03168,6.04672,-1.28163,4.88517,-0.933367,-0.0560257,-5.68083,0.443002,-0.668218,1.72636,1.41588,-0.504534,-1.39416
176.843174603,-174.542,18.272,0.6966,0.0282005,-5.29657,4.74563,1.64607,5.55812,3.34771,6.19556,2.12617,6.45377,0.358167,-1.89967,-6.75652,1.45744,-0.0263677,2.23882,-0.220181,-1.70988,-4.9428
176.866394558,-175.294,18.1228,-2.32535,2.20317,-3.89809,2.29975,4.64804,5.3129,2.24925,5.13922,-2.68659,4.44042,-4.58186,-0.390855,-3.13483,-0.0153841,-2.06924,1.75027,0.448492,-1.01881,-3.55575
176.889614512,-179.197,17.7125,-2.43644,-1.51075,-5.25671,3.58953,1.30835,6.15098,2.99179,4.64493,-0.863526,7.42545,-0.209879,1.4632,-2.23414,0.281789,-0.646655,5.62547,-0.295587,-3.03126,-3.14982
176.912834467,-154.518,14.0606,-6.18307,4.46084,-5.00992,3.56722,-3.52377,4.52384,-0.029804,2.30463,0.00911148,-0.158084,-4.88018,1.8002,-2.62431,1.13854,1.87852,2.01904,1.07476,3.17011,-2.22697
176.936054422,-136.04,9.71379,-0.827528,4.83591,-4.92254,-2.27134,-2.09496,2.63867,1.59218,4.02025,-3.81126,-0.0567715,-2.94596,1.47099,-4.99196,-1.33288,-0.580112,0.247973,3.323,1.78527,0.566242
176.959274376,-134.775,7.44751,-3.34867,3.09321,-4.29842,5.69023,0.72682,4.09796,1.61238,4.68542,-2.76485,4.2473,-3.76817,2.0656,-2.95388,0.422184,-2.28299,2.22334,2.63449,0.467791,-1.01309
176.982494331,-146.738,5.31962,-4.19447,5.28047,-6.68577,3.61432,1.34956,8.27269,4.5188,7.1204,-1.76207,4.22304,-6.38464,-0.400879,-5.57378,-0.338831,-4.03312,0.558716,1.67752,1.69655,-1.0231
177.005714286,-151.82,7.36861,-2.94771,3.97531,-6.34182,4.04425,0.282347,5.81356,3.57967,7.10925,-0.393463,5.85402,-3.66171,0.669149,-3.82611,0.618269,1.73568,2.71322,1.24543,1.89313,-1.41655
177.028934240,-157.421,11.7127,-2.66952,2.93777,-5.8746,3.46233,1.33368,5.68827,3.69672,7.52244,-2.15976,4.89973,-3.73076,1.04637,-4.33673,0.553664,0.393314,3.39301,1.87895,1.40017,-4.19392
177.052154195,-167.172,14.9325,2.20162,1.45074,-6.47425,3.92595,2.6824,4.93401,3.2413,7.16777,-1.69985,1.33765,-4.96734,-0.196774,-3.59514,0.825301,-0.72731,1.10115,3.29643,0.328509,-6.06634
177.075374150,-170.189,17.8752,0.872099,0.581537,-3.67228,3.43042,-2.51555,6.29102,6.55328,7.52995,1.78501,4.75623,-1.41123,1.62836,-3.58865,1.10146,0.121154,0.291512,1.44155,-0.883648,-4.89066
177.098594104,-172.156,21.6273,0.538936,2.48909,-6.11962,4.26582,-1.40519,6.23346,3.24827,6.031,1.2248,5.27661,-1.95926,-0.867066,-4.14864,0.128747,-2.08046,1.65113,1.90212,-3.8036,-1.91812
177.121814059,-177.145,18.9108,-0.297652,3.77957,-4.03865,5.31751,-2.31436,6.9077,4.41152,4.16673,0.548668,4.41602,-1.6583,0.746537,-4.64053,0.736493,0.221757,0.593837,0.42865,-1.53047,-3.16671
177.145034014,-174.651,16.6601,1.15484,4.61694,0.820297,2.56805,-1.1115,7.90462,2.07328,4.50457,-2.11328,4.66018,3.1652,8.53682,-0.283933,0.92863,-1.95457,0.541533,1.94347,-0.705841,-3.83158
177.168253968,-175.159,17.6671,1.7211,5.35267,1.79647,5.61306,-2.77762,3.40814,-0.00747264,6.91394,-2.34238,2.04353,-0.515318,7.3538,-1.01702,3.58453,-0.748452,0.699366,0.503782,-0.111049,-5.61574
177.191473923,-177.005,23.9834,1.30312,3.13176,-1.60886,4.07697,-2.21454,7.02269,-0.634635,5.01531,-2.43282,3.9514,-2.72969,3.57181,-0.503961,3.25882,-0.157809,0.255262,1.73402,-0.0204133,-4.03903
177.214693878,-181.512,24.2635,2.44922,4.83302,-0.856387,7.54719,-1.50802,5.87394,0.0220797,4.95127,-1.01353,0.0945178,-2.32577,2.57866,-1.19108,4.24808,2.49795,0.410461,1.29943,-0.547235,-4.26572
177.237913832,-181.583,22.8984,0.550536,3.94739,-2.72324,3.72043,-3.30237,7.75064,3.31552,4.78726,-2.78,1.09131,-5.84114,4.99368,2.17625,3.43154,1.72751,-0.642883,-0.41698,0.842563,-3.77491
177.261133787,-181.408,22.3332,3.83584,2.90761,-3.72379,4.47765,-3.77046,12.257,2.66702,3.40695,-5.35079,2.88829,-4.10588,6.05667,-1.43465,3.986,-1.20995,0.729658,-0.685988,2.42376,-2.9518
177.284353741,-179.466,22.8058,1.35097,7.24541,-5.02181,7.0089,-4.29494,8.37445,-0.163536,5.55532,-5.36917,4.8624,-4.72098,6.28815,-0.713937,5.4722,-2.42826,0.663855,-2.59808,3.51455,-1.5157
177.307573696,-188.287,20.7412,-3.08483,3.37318,-7.57792,3.97839,-3.88382,7.87963,0.523816,6.67269,-5.96525,3.83452,-2.12797,6.34723,0.840863,6.12404,0.328094,5.65851,-1.18061,1.76236,-0.404015
177.330793651,-151.822,14.9931,2.14294,9.60762,-1.71179,3.35485,2.5253,4.26531,0.372864,4.24815,-2.03908,-2.04116,-5.66805,1.54768,-0.856501,1.28759,-0.0781763,-0.416876,-1.23364,-1.5471,-1.32978
177.354013605,-156.035,12.1553,-0.589559,7.26469,-0.0764299,3.35363,2.46321,4.76556,1.8458,6.19635,0.823014,7.09889,-0.475735,3.34853,0.280463,2.3082,-0.81777,-0.960972,-2.67577,-1.30356,-1.88313
177.377233560,-157.079,14.4167,-5.77784,4.3567,-0.704929,3.18644,-0.147151,5.32129,0.181229,8.29264,-2.60702,3.85744,-0.329172,3.66085,1.0973,1.78807,0.0264929,1.04809,-1.63471,0.335407,-1.75825
177.400453515,-159.001,18.2484,-3.06954,5.09867,-2.13407,4.7615,4.20205,4.25756,0.168048,7.12433,-1.59802,4.57431,-1.35543,1.16325,-1.51504,-1.55406,-1.17787,0.96652,1.34897,-1.30737,-2.54269
177.423673469,-167.824,18.6848,-1.66106,3.01395,-6.86967,0.822187,0.303827,5.32146,2.22037,4.50078,-4.65876,2.41676,-1.69776,0.524439,-1.77826,-0.284985,-0.306845,1.40125,2.68668,-1.35116,-3.29394
177.446893424,-173.614,24.2438,-3.62644,3.31307,-9.26221,1.05702,-2.72489,7.5703,0.114829,7.45746,-4.74581,7.60309,-5.09047,4.11856,-3.49913,5.34021,0.0641709,4.06857,-0.306425,-0.593736,-4.40777
177.470113379,-178.116,20.863,-2.23365,2.51005,-9.05026,1.0103,-3.55948,6.22415,-0.726701,7.30572,-1.81634,4.57477,-8.9939,-0.234776,-4.3893,1.38568,-2.56446,2.85397,-0.682575,0.123015,-4.91037
177.493333333,-173.699,23.2456,-0.244261,2.46273,-8.29394,-1.65056,0.533089,7.64732,4.14927,5.76694,-4.82143,3.14989,-4.52152,1.61109,-3.72332,-0.161658,-0.82222,2.13337,-0.0835604,-1.3861,-2.56904
177.516553288,-173.808,19.6797,-3.51668,0.793559,-7.36334,-0.023762,0.110576,5.50049,0.570398,5.13726,-3.5256,5.1263,-4.1037,0.979544,-3.88002,1.01793,1.1595,1.97494,0.260632,-0.0130409,-2.19677
177.539773243,-172.7,14.8335,-3.62186,1.75995,-5.23726,1.5525,1.63336,9.15437,2.2343,6.33709,-6.30739,0.923223,-8.13739,2.94142,-3.49164,0.807215,0.658901,2.1919,-1.02902,3.66948,-0.217719
177.562993197,-171.28,16.497,-2.054,1.5865,-3.23594,2.62523,0.440156,6.62611,2.44934,6.24608,-3.49754,2.78248,-5.35764,-0.307383,-2.70127,-0.363945,-0.893147,3.39428,0.160012,1.03036,-3.71434
177.586213152,-173.381,16.8912,-2.76875,-0.260714,-2.34303,0.286609,-1.25722,4.35694,0.697031,5.17802,-1.9792,4.77549,-1.52007,0.274579,-3.31076,-0.668542,1.35242,3.60969,2.1321,0.341884,-1.47673
177.609433107,-173.844,18.2353,-0.53681,-0.615787,0.336745,3.69308,-2.80866,3.75099,0.4986,0.90028,-0.836727,6.19136,-0.0115295,1.99324,0.12797,-1.87597,-1.45794,1.81635,-2.73581,0.653503,-0.0237248
177.632653061,-174.723,17.3919,-0.226939,-0.172881,-2.61728,-1.04781,-1.69661,5.64576,3.9477,5.53272,-1.43271,5.94892,-2.0453,-1.3674,-2.56718,-4.25379,-1.61746,3.23782,-0.953811,-1.36891,-3.01034
177.655873016,-171.493,16.1898,0.14479,-2.29016,-7.6831,-1.46988,1.7859,4.73897,4.10501,4.62684,-2.2278,6.86821,-1.08058,1.49785,-4.02108,0.699201,1.51146,2.12338,-0.976199,-0.537997,-0.736216
177.679092971,-174.069,16.9552,-0.461099,-0.316849,-4.80094,5.58939,3.92912,8.82007,3.70158,3.56306,-4.69517,5.09042,-3.61206,0.71843,-3.52301,1.00179,0.773598,2.57073,-0.126148,-2.03241,-2.07202
177.702312925,-177.123,13.8859,-5.06303,-0.707266,-4.55831,1.57439,4.17473,7.63034,1.69913,3.77154,-0.931829,3.51227,-2.83039,-0.168687,-3.62143,0.656995,1.69633,5.09148,2.26386,1.73583,-4.34252
177.725532880,-165.926,14.8265,-4.35234,-1.23173,-7.51901,0.0988224,-0.709621,5.76565,4.29165,4.03053,0.296888,1.8608,-0.158312,2.12179,-1.19737,3.37179,-1.15913,4.34491,2.58376,0.798644,-0.606697
177.748752834,-140.331,10.7009,1.31538,5.72996,-3.15948,-0.147547,-3.66967,-0.225359,-2.74273,-0.284687,-2.47998,2.56187,-5.06382,-2.06157,-5.22855,0.567063,3.32246,2.11547,0.222848,-1.82647,-3.27112
177.771972789,-137.09,10.1923,-1.45697,0.804569,-3.76877,2.88992,0.0678594,4.28661,0.517749,-1.4959,-6.38881,0.79106,-3.85236,1.20609,-0.727203,0.75118,0.0446994,2.13715,0.320098,1.90539,-1.4845
177.795192744,-144.26,7.77089,-4.62639,5.171,-6.02755,0.29264,-2.70283,3.23472,1.66812,5.22204,-4.0364,4.96197,-4.28976,3.50582,-1.51268,1.20729,-0.162572,2.76749,2.66103,1.4555,-1.99546
177.818412698,-149.21,8.83102,-0.665226,5.76329,-6.03613,2.98223,-0.902274,3.64448,2.9477,5.35034,-2.9072,3.54583,-5.95352,1.16191,-2.2209,1.47015,-1.92902,0.631684,0.171093,1.3032,-1.10849
177.841632653,-158.316,10.2264,-1.39665,3.36465,-6.50871,5.95497,0.400605,5.18421,-0.321025,2.96879,-6.61651,3.7457,-2.75167,4.06925,-2.87131,1.06384,-1.69543,1.15654,-2.62577,0.598111,-2.62199
177.864852608,-163.405,15.4377,-0.799982,3.45207,-5.93737,3.96223,0.9286,5.31993,1.31964,5.14188,-3.58597,1.97434,-5.13219,0.623598,-2.96904,0.245798,-0.719806,1.86832,-0.535441,-0.557304,-0.725683
177.888072562,-168.073,16.2338,-0.311255,0.30343,-4.26938,2.37693,0.595153,6.52865,6.29087,3.93476,-2.36247,1.43536,-4.67757,2.32135,-1.71198,1.10373,0.336377,3.33519,-0.111435,0.527218,-3.1106
177.911292517,-178.564,16.9001,-0.885323,3.38544,-2.74455,4.33414,-0.139687,4.29953,0.605582,4.6636,-4.32532,2.35297,-6.43846,-0.247766,-6.25789,0.604739,3.44684,3.82921,-0.152572,1.78585,-3.21731
177.934512472,-176.402,17.5039,-3.92225,5.46967,-5.82425,4.74582,-3.47605,4.2467,-2.88679,5.79725,-4.19151,2.92483,-4.78539,4.55761,-3.9453,3.22147,0.0894668,4.0694,0.653491,1.98529,-0.973849
177.957732426,-174.378,21.38,-5.00344,2.06263,-9.045,4.95463,-6.1961,4.29253,-6.56942,6.2516,-8.3356,8.94381,-5.9734,8.42324,-5.30117,5.28283,-3.1823,5.24591,-2.14293,3.71025,-1.11797
177.980952381,-171.821,19.5589,-1.68302,4.1683,-0.353083,6.52452,-5.07423,2.14324,-0.58106,7.39659,-2.71546,4.12263,-3.92727,3.21702,-6.30699,1.38263,-3.8094,0.318897,-0.299132,1.70203,-3.3784
178.004172336,-174.334,20.1064,0.057672,1.3964,-3.14933,4.3847,-3.68923,3.01929,1.65498,4.97597,-1.55422,1.48656,-1.82577,1.93556,-2.92931,0.772275,-2.59262,-1.36761,-0.927545,-0.728501,-1.42183
178.027392290,-180.707,18.0587,-3.13357,3.53902,-4.68525,5.07214,-0.763687,3.98072,-0.304735,1.81362,-5.84064,2.7737,-1.24231,3.84163,-0.874279,0.400698,-2.99292,-0.795005,-1.69095,1.69375,-1.29975
178.050612245,-177.317,20.6302,1.88236,3.79945,-3.49846,6.3453,-2.21923,6.16019,-0.487425,1.11101,-4.37659,3.42436,-0.724726,1.66454,-2.82024,0.280987,-3.5195,-0.620618,-1.65441,0.783871,-1.06235
178.073832200,-180.308,17.2786,1.62814,2.42903,-2.80897,2.61827,-1.09493,4.06175,1.32117,1.97045,-6.81283,4.03173,-5.00094,3.60749,-0.465366,-2.03748,-0.0469632,1.97197,-0.562241,-0.145999,-1.93361
178.097052154,-185.959,20.1748,0.983849,5.44172,-4.18757,4.8996,-4.37863,8.17132,1.03205,5.42721,-7.23732,3.95863,-6.47001,6.00849,-4.09816,-0.0599133,-2.39198,2.31103,-3.38909,-1.87182,-2.06985
178.120272109,-179.916,21.2991,-0.516437,8.74042,-4.90731,4.57751,-3.53857,6.36419,0.467256,6.33442,-3.52625,2.28557,-4.40929,3.08375,-3.23641,1.63632,-4.00926,-1.54584,-2.5871,-0.197364,-1.33399
178.143492063,-159.297,13.8873,4.15983,7.71787,-3.85936,1.9822,-1.19783,-0.521473,0.31466,2.17476,-0.517673,-0.325257,-0.871976,0.0436962,-1.15359,-1.45372,-3.34027,-2.70183,-0.368818,-0.759088,-0.125069
178.166712018,-152.383,11.0031,-0.366957,6.23799,-1.95056,6.46527,4.49703,4.36788,1.73169,4.20854,-0.845774,5.66585,-1.59608,1.95157,-2.2816,0.658351,-2.01512,-0.743423,0.156555,2.03627,-1.34074
178.189931973,-155.692,12.4216,-1.38105,11.724,-0.174428,5.2638,-0.698866,5.59991,2.21584,6.00821,-2.00492,2.74848,-0.451142,2.07194,-1.07048,0.101352,-2.24256,0.96654,0.902789,-0.822358,-1.48572
178.213151927,-162.001,15.988,0.0714982,6.40491,-3.81102,3.38118,-1.24066,5.95618,0.690971,6.30638,-1.92359,1.55586,-2.50807,4.80533,-1.55178,1.6018,-1.838,0.129218,-1.51169,0.757239,-0.786712
178.236371882,-163.545,16.9077,1.58236,3.97301,-5.34019,4.1678,-1.14955,2.53978,-0.295216,4.73489,-0.351188,3.77485,0.681162,0.89144,-3.92892,-0.0585262,-1.86357,-0.741596,0.762075,1.35575,-1.51378
178.259591837,-166.667,16.9305,4.04789,4.1446,-5.39467,2.13024,0.195686,3.86668,2.28686,5.33142,-1.85832,3.60457,-2.58987,-0.342904,-5.22421,-0.0297775,-1.43109,-1.22277,0.930912,-0.0700528,-1.63388
178.282811791,-168.689,18.7981,2.97559,3.34703,-6.54284,2.34344,-2.96183,3.78017,-0.544079,7.59307,-1.50918,4.79939,-2.8965,0.768739,-4.20185,1.79498,-2.12762,0.335874,0.40515,-0.224138,-2.18754
178.306031746,-173.003,20.254,3.72105,6.78319,-5.99102,5.1836,1.01586,5.68796,0.829823,6.2673,-2.17367,3.2067,-2.28156,1.65471,-4.20739,1.35281,-2.84619,2.39402,1.1465,-0.427113,-3.95438
