TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
9.148662132,0.067266,0.81575,0.0994256,0.273985,0.0431503,1.56617,0.00080541,0.816807,0.853261,0.222559,2.17604,0.00568258
9.195102041,0.0871023,0.636315,0.109883,0.207295,0.0358916,1.52725,0,0.7367,0.861032,0.226037,2.01056,0.0459679
9.241541950,0.493214,0.389605,0.128748,0.636587,0.0179014,1.7706,0.0222624,0.435069,0.860689,0.0664224,1.81543,0.0310028
9.287981859,1.41724,0.232729,0.27553,1.06961,0,1.95952,0.165488,0.491146,0.839107,0.377173,0.667846,0.476702
9.334421769,1.7408,0.237802,0.53637,0.69852,0,1.26088,0.25504,1.32613,0.322969,0.500172,0.340033,0.514524
9.380861678,1.83133,0.19494,0.433539,0.327847,0,1.20515,0.224598,1.28599,0.0958252,0.776222,0.756927,0.336775
9.427301587,1.82619,0.123203,0.308297,0.130291,0.00356406,1.65846,0.10505,1.13941,0.150203,0.924209,1.02162,0
9.473741497,2.12068,0.210913,0.0946056,0.00727775,0.00888528,1.683,1.0065,0.577445,0.0984606,0.80787,1.83213,0.00739871
9.520181406,1.99317,0.000497133,0.573015,0.0336884,0.356574,1.27479,1.9116,0.362472,0.0569667,0.43337,1.67721,0.0417055
9.566621315,1.61695,0,0.737617,0.105082,0.462846,0.96544,1.82412,0.533625,0.0527879,0.302946,1.79187,0.0785908
9.613061224,1.3593,0.00184198,0.864075,0.0701997,0.306624,1.12307,1.54453,0.75817,0.0825074,0.228646,2.06864,0.106149
